experiment,split,method,setting,dataset,num_seeds,mIoU_percent,mIoU_seed_std_percent,foreground_mIoU_percent,foreground_mIoU_seed_std_percent,background_IoU_percent,background_IoU_seed_std_percent,foreground_Dice_percent,foreground_Dice_seed_std_percent,AUROC_percent,AUROC_seed_std_percent,absent_FP_area_percent,absent_FP_area_seed_std_percent
exp1,internal_unused_source,ClearCLIP,conditional_grpo,macro_average,3,55.4819208073377,0.06563236000663433,25.724259404731338,0.1042407140629682,95.23856928279565,0.03864537659448849,36.18590760251176,0.09779977324894847,,,1.6605753815210356,0.0406635339480845
exp1,internal_unused_source,NACLIP,original_ngsc,BUSI,1,58.285460450358414,,19.822649425322822,,96.74827147539402,,26.44444900594775,,,,0.0,
exp1,internal_unused_source,NACLIP,original_ngsc,BrainMRI,1,25.503542500130767,,4.188660399047203,,89.44818880338146,,5.92562607751528,,,,3.254590105654588,
exp1,internal_unused_source,NACLIP,original_ngsc,ColonDB,1,49.80100222099878,,17.803992444311906,,81.79801199768566,,27.692563695439272,,,,,
exp1,internal_unused_source,NACLIP,original_ngsc,KiTS,1,52.75320874792546,,14.755793549620243,,90.75062394623068,,21.261914367983643,,,,,
exp1,internal_unused_source,NACLIP,original_ngsc,macro_average,1,46.58580347985336,,14.142773954575544,,89.68627405567295,,20.331138286721483,,,,1.627295052827294,
exp1,internal_unused_source,NACLIP,core_fixed,BUSI,1,66.99157204735309,,40.150931182266,,93.83221291244018,,53.51263391396751,,,,2.5223006835027895,
exp1,internal_unused_source,NACLIP,core_fixed,BrainMRI,1,29.30719280976816,,9.189757528429482,,89.65949865378421,,18.160325805281534,,,,2.2688445760242972,
exp1,internal_unused_source,NACLIP,core_fixed,ColonDB,1,49.74482045898057,,17.777554332515855,,81.71208658544529,,27.656670194810207,,,,,
exp1,internal_unused_source,NACLIP,core_fixed,KiTS,1,52.70111368486481,,14.708612676968569,,90.69361469276106,,21.204800929491515,,,,,
exp1,internal_unused_source,NACLIP,core_fixed,macro_average,1,49.686174750241655,,20.456713930044977,,88.9743532111077,,30.133607710887688,,,,2.3955726297635436,
exp1,internal_unused_source,NACLIP,source_static,BUSI,1,64.42402033099205,,33.08540699764745,,95.76263366433663,,46.5010629696972,,,,1.0979303325384273,
exp1,internal_unused_source,NACLIP,source_static,BrainMRI,1,35.0691103908825,,14.925204434745487,,95.50082825929351,,26.751943559989982,,,,1.3290109919078315,
exp1,internal_unused_source,NACLIP,source_static,ColonDB,1,54.482716110039334,,16.132192442594242,,92.83323977748442,,24.20253901543213,,,,,
exp1,internal_unused_source,NACLIP,source_static,KiTS,1,58.37943285941669,,20.606637824007,,96.15222789482638,,27.64357322496379,,,,,
exp1,internal_unused_source,NACLIP,source_static,macro_average,1,53.08881992283264,,21.187360424748544,,95.06223239898523,,31.27477969252077,,,,1.2134706622231293,
exp1,internal_unused_source,NACLIP,conditional_grpo,BUSI,3,60.238658956486816,0.10027180183087238,25.17542189714814,0.2626362028318786,95.30189601582549,0.06254704842580881,37.55573248355356,0.29162635049563945,,,1.8328412910480227,0.05933883296252251
exp1,internal_unused_source,NACLIP,conditional_grpo,BrainMRI,3,35.45411683646576,0.051224879076515004,15.554343464092145,0.07377175152168411,95.15343695358658,0.16212616807213137,27.216937876469476,0.1449057979884658,,,1.6344085854677417,0.064919718702569
exp1,internal_unused_source,NACLIP,conditional_grpo,ColonDB,3,55.12152152174898,0.05635814036172973,17.915951634356993,0.1664721744662493,92.32709140914098,0.0627814971102965,27.01659710923259,0.23802995691943862,,,,
exp1,internal_unused_source,NACLIP,conditional_grpo,KiTS,3,58.92096337766425,0.16123551208876566,21.08424432693854,0.19422427878351886,96.75768242838996,0.13385747731342737,28.274897719123786,0.12258062873756019,,,,
exp1,internal_unused_source,NACLIP,conditional_grpo,macro_average,3,52.433815173091446,0.005045561250043682,19.932490330633957,0.05932225209400873,94.88502670173575,0.09001755955496514,30.01604129709485,0.09046632070472839,,,1.733624938257882,0.05526941594666977
exp1,external_target,MaskCLIP,original_ngsc,Covid-QU-Ex,1,58.50000898270199,,28.86256765000977,,88.1374503153942,,42.53658843775116,,87.12421881952814,,,
exp1,external_target,MaskCLIP,original_ngsc,HAM10000,1,20.88607428784256,,14.427530405693334,,66.09588146288714,,34.51291018981216,,86.5154807701264,,4.3924049912785135,
exp1,external_target,MaskCLIP,original_ngsc,MedSeg,1,32.89119219226738,,12.633991227654379,,93.6627950861064,,24.29239787784355,,88.47939130903215,,0.5620182150661356,
exp1,external_target,MaskCLIP,original_ngsc,PH2,1,28.907031103489402,,14.79545395462701,,71.24176255007659,,22.803689785389054,,82.1647922596729,,6.278413750084484,
exp1,external_target,MaskCLIP,original_ngsc,macro_average,1,35.29607664157533,,17.679885809496124,,79.78447235361608,,31.036396572698983,,86.0709707895899,,3.744278985476378,
exp1,external_target,MaskCLIP,core_fixed,Covid-QU-Ex,1,58.52983696735207,,28.921091316769704,,88.13858261793442,,42.60547414497168,,87.12422916593984,,,
exp1,external_target,MaskCLIP,core_fixed,HAM10000,1,19.301942297863086,,11.270897172564306,,75.51925817495454,,18.66908267477135,,86.61419256036623,,3.3773851876506225,
exp1,external_target,MaskCLIP,core_fixed,MedSeg,1,33.29290662687481,,13.655072155532022,,92.20641004090318,,25.735690049599185,,88.45887223445153,,1.5163610477258664,
exp1,external_target,MaskCLIP,core_fixed,PH2,1,27.011001424610452,,12.30972033870887,,71.11484468231521,,19.404537510507033,,82.12962818213055,,6.87348469349531,
exp1,external_target,MaskCLIP,core_fixed,macro_average,1,34.53392182917511,,16.539195245893726,,81.74477387902684,,26.60369609496231,,86.08173053572203,,3.9224103096239333,
exp1,external_target,MaskCLIP,source_static,Covid-QU-Ex,1,55.43013489095925,,23.080175453749668,,87.78009432816883,,35.40333578886442,,86.77581535903116,,,
exp1,external_target,MaskCLIP,source_static,HAM10000,1,15.566821774213228,,6.8639988831387235,,76.48658201173475,,9.809025208379927,,86.33325890996223,,0.9886615693743335,
exp1,external_target,MaskCLIP,source_static,MedSeg,1,32.33543006513663,,12.345145806276152,,92.30628284171806,,23.14680248512523,,87.81241328916958,,1.2355540058400372,
exp1,external_target,MaskCLIP,source_static,PH2,1,20.388325196536115,,4.007385995899506,,69.53114279844596,,7.355704586947137,,81.61243437614152,,1.5091680284667741,
exp1,external_target,MaskCLIP,source_static,macro_average,1,30.930177981711303,,11.574176534766012,,81.52602549501691,,18.928717017329177,,85.63348048357612,,1.2444612012270484,
exp1,external_target,MaskCLIP,conditional_grpo,Covid-QU-Ex,3,53.463917639447736,0.12016158674702121,19.581611411985925,0.2230337600049461,87.34622386690954,0.020053355520495707,30.98471769629047,0.30673917141033535,86.7794153445553,0.0011137485035166786,,
exp1,external_target,MaskCLIP,conditional_grpo,HAM10000,3,15.406827827665223,0.05982491981039289,6.675554800394097,0.06295268202822231,76.5257390185631,0.045786676466555154,10.595591768644558,0.2964306600542396,86.38127486182636,0.007534395878308969,1.2394436760497114,0.037456486953493955
exp1,external_target,MaskCLIP,conditional_grpo,MedSeg,3,31.468555254632978,0.007859843196531754,11.31449054520295,0.02562160157656168,91.93074938292305,0.057866128974941596,20.708701076561553,0.039487927647111204,87.81794947625433,0.006089638876761278,1.6713334388858807,0.05717929365313208
