experiment,split,method,setting,dataset,num_seeds,mIoU_percent,mIoU_seed_std_percent,foreground_mIoU_percent,foreground_mIoU_seed_std_percent,background_IoU_percent,background_IoU_seed_std_percent,foreground_Dice_percent,foreground_Dice_seed_std_percent,AUROC_percent,AUROC_seed_std_percent,absent_FP_area_percent,absent_FP_area_seed_std_percent
exp1_baseline,internal_unused_source,NACLIP,original_ngsc,macro_average,1,46.58580347985336,,14.142773954575544,,89.68627405567295,,20.331138286721483,,,,1.627295052827294,
exp1_baseline,internal_unused_source,NACLIP,core_fixed,macro_average,1,49.686174750241655,,20.456713930044977,,88.9743532111077,,30.133607710887688,,,,2.3955726297635436,
exp1_baseline,internal_unused_source,NACLIP,source_static,macro_average,1,53.08881992283264,,21.187360424748544,,95.06223239898523,,31.27477969252077,,,,1.2134706622231293,
exp2,internal_unused_source,NACLIP,global_beta_grpo,macro_average,3,53.00060354178064,0.013531068101267757,20.99858259452309,0.09767837646237831,95.0765784844672,0.0749924043261862,31.082576944702073,0.14119451227067994,91.97906078654964,0.00017014028313410044,1.213938970912918,0.03319461274318345
exp2,internal_unused_source,NACLIP,conditional_beta_grpo,macro_average,3,51.28163046061942,0.8737317538404362,18.74605611201957,0.7123469815708999,93.77537225848816,1.1309926438570084,28.328205910107805,1.1121576022343118,92.07317482071984,0.10867237473822473,3.259875854633269,1.1408777872206475
exp1_baseline,external_target,MaskCLIP,original_ngsc,macro_average,1,35.29607664157533,,17.679885809496124,,79.78447235361608,,31.036396572698983,,86.0709707895899,,3.744278985476378,
exp1_baseline,external_target,MaskCLIP,core_fixed,macro_average,1,34.53392182917511,,16.539195245893726,,81.74477387902684,,26.60369609496231,,86.08173053572203,,3.9224103096239333,
exp1_baseline,external_target,MaskCLIP,source_static,macro_average,1,30.930177981711303,,11.574176534766012,,81.52602549501691,,18.928717017329177,,85.63348048357612,,1.2444612012270484,
exp2,external_target,MaskCLIP,global_beta_grpo,macro_average,3,30.69425241459421,0.03587265702776404,11.204217671695856,0.05591144164023929,81.48823226957155,0.005444784004584489,18.355242311199326,0.08373546455742528,85.63630174335748,0.001356368212824309,1.1581122340945655,0.009523972181995603
exp2,external_target,MaskCLIP,conditional_beta_grpo,macro_average,3,30.939524231760995,0.23122110036618854,11.844174321544715,0.2444949749458449,81.71164912653502,0.11494353836062107,18.679420109244667,0.5742939590206994,85.65699473978479,0.01713161332587553,1.4120194074182835,0.09654470635198739
exp1_baseline,external_target,SCLIP,original_ngsc,macro_average,1,32.11376689857652,,14.590263352513263,,69.87543265669176,,29.150991478196335,,84.99861057231927,,6.10724145967392,
exp1_baseline,external_target,SCLIP,core_fixed,macro_average,1,34.04442628714629,,15.03824834591354,,82.88036641033104,,22.89469220423393,,85.21084900725097,,3.8225134335352693,
exp1_baseline,external_target,SCLIP,source_static,macro_average,1,29.901702440537488,,9.359183923022977,,82.05820833934084,,15.095462697942407,,84.98282290067202,,1.6535274208345152,
exp2,external_target,SCLIP,global_beta_grpo,macro_average,3,29.851795879259875,0.04158941770902462,9.289864073291607,0.057720847753731694,82.04043924300048,0.015241479243249692,14.977739259964853,0.09735440811793132,84.97304646826102,0.008187628060006929,1.6256969650526192,0.023056384756166493
exp2,external_target,SCLIP,conditional_beta_grpo,macro_average,3,30.120838741998107,0.3218035157091968,9.616404056666433,0.37741488582646066,82.1939055636765,0.1983227036319677,15.534762600061372,0.6492709591580483,84.98497823573175,0.008715308792668157,1.7614023674670558,0.17062783235189202
